doi,title,publication year,publication venue,type,issue,volume
10.1016/s0022-0248(01)02065-6,Heteroepitaxial growth of group-III nitrides on lattice-matched metal boride ZrB2 (0001) by molecular beam epitaxy,2002,Journal of Crystal Growth,journal article,,237-239
10.4028/www.scientific.net/kem.297-300.1196,Three-Dimensional Material Failure Process Analysis,2005,Key Engineering Materials,journal article,,297-300
10.1016/s0013-7944(97)00010-6,Fracture simulations of concrete using lattice models: Computational aspects,1997,Engineering Fracture Mechanics,journal article,2-3,57
10.4028/www.scientific.net/kem.297-300.1113,3-D Micromechanics Model for Progressive Failure Analysis of Laminated Cylindrical Composite Shell,2005,Key Engineering Materials,journal article,,297-300
10.1016/s0266-3538(97)80015-2,The effect of curvature on the dynamic response and impact-induced damage in composite laminates,1997,Composites Science and Technology,journal article,7,57
10.4028/www.scientific.net/kem.304-305.560,The Effect of High Pressure Abrasive Water Jet Cutting Parameters on Cutting Performance of Granite,2006,Key Engineering Materials,journal article,,304-305
10.4028/www.scientific.net/kem.315-316.118,Study on the Multi-Scale Nanocomposite Ceramic Tool Material,2006,Key Engineering Materials,journal article,,315-316
10.1016/s0025-5408(96)00078-5,Development of advanced composite ceramic tool material,1996,Materials Research Bulletin,journal article,8,31
10.4028/www.scientific.net/kem.315-316.40,Effect of TiN Addition on the Low Temperature Degradation of Ceramic Tool Materials 3Y-TZP,2006,Key Engineering Materials,journal article,,315-316
10.1016/0955-2219(95)00035-s,Environmental degradation of zirconia ceramics,1995,Journal of the European Ceramic Society,journal article,6,15
10.4028/www.scientific.net/kem.315-316.123,Effect of Nano-Scale Al<sub>2</sub>O<sub>3</sub> on Mechanical Properties of TiB<sub>2</sub> Ceramic Tool Materials,2006,Key Engineering Materials,journal article,,315-316
10.1007/978-3-642-66620-9,Boron and Refractory Borides,1977,,book,,
10.4028/www.scientific.net/kem.315-316.127,Theoretical Analysis on the Machining Mechanism in Ultrasonic Vibration Abrasive Waterjet,2006,Key Engineering Materials,journal article,,315-316
10.1016/s0890-6955(02)00069-x,Processes and apparatus developments in industrial waterjet applications,2002,International Journal of Machine Tools and Manufacture,journal article,12,42
10.4028/www.scientific.net/kem.315-316.150,Simulation of Velocity Field of Two-Phase Flow for Gas and Liquid in the Abrasive Water Jet Nozzle,2006,Key Engineering Materials,journal article,,315-316
10.4028/www.scientific.net/kem.315-316.154,Effect of Nano-Scale TiN on the Mechanical Properties and Microstructure of Si<sub>3</sub>N<sub>4</sub> Based Ceramic Tool Materials,2006,Key Engineering Materials,journal article,,315-316
10.4028/www.scientific.net/kem.159-160.405,Silicon Nitride Based Nano- and Micro-Composites with Enhanced Mechanical Properties,1998,Key Engineering Materials,journal article,,159-160
10.4028/www.scientific.net/kem.315-316.396,Recent Development of Abrasive Water Jet Machining Technology,2006,Key Engineering Materials,journal article,,315-316
10.1007/s001700050129,"Abrasive Waterjet Machining of Polymer Matrix Composites – Cutting Performance, Erosive Process and Predictive Models",1999,The International Journal of Advanced Manufacturing Technology,journal article,10,15
10.4028/www.scientific.net/kem.297-300.2567,Avalanche Behaviour in Microfracturing Process of 3-D Brittle Disordered Material,2005,Key Engineering Materials,journal article,,297-300
10.1103/physrevlett.73.3423,Experimental Evidence for Critical Dynamics in Microfracturing Processes,1994,Physical Review Letters,journal article,25,73
10.1103/physrevlett.59.381,Self-organized criticality: An explanation of the 1/fnoise,1987,Physical Review Letters,journal article,4,59
10.1103/physrevlett.58.1161,Phase organization,1987,Physical Review Letters,journal article,12,58
10.1103/physrevlett.55.2927,Discrete model of chemical turbulence,1985,Physical Review Letters,journal article,27,55
10.1143/ptp.52.1399,Reductive Perturbation Approach to Chemical Instabilities,1974,Progress of Theoretical Physics,journal article,4,52
10.4028/www.scientific.net/kem.297-300.2612,Numerical Approach to Investigating Pre-Existed Cracks in Rocks,2005,Key Engineering Materials,journal article,,297-300
10.1002/nag.1610040103,Finite element models for rock fracture mechanics,1980,International Journal for Numerical and Analytical Methods in Geomechanics,journal article,1,4
10.1007/bf02327993,Fracture-toughness testing of limestone,1976,Experimental Mechanics,journal article,5,16
10.4028/www.scientific.net/kem.297-300.2617,Numerical Study on Shear Strength and Failure Pattern of Jointed Rock under Shear Testing,2005,Key Engineering Materials,journal article,,297-300
10.1016/0148-9062(69)90016-3,Shear strength of weakness planes in rock,1969,International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts,journal article,5,6
10.4028/www.scientific.net/kem.315-316.822,Study on Cutting Coloring Stainless Steel by Abrasive Waterjet,2006,Key Engineering Materials,journal article,,315-316
10.4028/www.scientific.net/kem.320.103,"Defect Structure in (Zn,Mg)O Films Prepared on YSZ Substrate",2006,Key Engineering Materials,journal article,,320
10.1038/nmat1284,Repeated temperature modulation epitaxy for p-type doping and light-emitting diode based on ZnO,2004,Nature Materials,journal article,1,4
10.4028/www.scientific.net/kem.320.113,Near-Infrared Light Emission from of Er-Doped ZnO Thin Film in Micropits Processed on Si Substrate,2006,Key Engineering Materials,journal article,,320
10.4028/www.scientific.net/kem.324-325.51,Sustained Loading Fracture and Strength of Concrete Modelled by Creep-Damage Interaction,2006,Key Engineering Materials,journal article,,324-325
10.1061/(asce)0733-9399(1989)115:8(1691),Solidification Theory for Concrete Creep. I: Formulation,1989,Journal of Engineering Mechanics,journal article,8,115
10.4028/www.scientific.net/kem.329.329,Three-Dimensional Simulation of Liquid-Solid Two-Phase Flow Inside the Abrasive Water Jet Nozzle,2007,Key Engineering Materials,journal article,,329
10.4028/www.scientific.net/kem.329.335,Surface Characteristics of Ceramics Milled with Abrasive Waterjet Technology,2007,Key Engineering Materials,journal article,,329
10.1115/1.3188745,An Investigation of Milling With Abrasive-Waterjets,1989,Journal of Engineering for Industry,journal article,2,111
10.4028/www.scientific.net/kem.324-325.803,Computation of Effective Fatigue Thresholds Based on a New Concept of Crack Closure,2006,Key Engineering Materials,journal article,,324-325
10.1016/j.actamat.2004.06.014,Asymmetric crack wake plasticity – a reason for roughness induced crack closure,2004,Acta Materialia,journal article,15,52
10.4028/www.scientific.net/kem.324-325.931,Numerical Simulation and Analysis on Crack Path Deviation in Brittle Solid,2006,Key Engineering Materials,journal article,,324-325
10.1007/bf00962960,Brittle fracture propagation in rock under compression,1984,International Journal of Fracture,journal article,4,26
10.1115/1.3656897,On the Crack Extension in Plates Under Plane Loading and Transverse Shear,1963,Journal of Basic Engineering,journal article,4,85
10.4028/www.scientific.net/kem.324-325.1153,Influence of Residual Stresses on Threshold Values for Crack Propagation Through an Interface Between Two Materials,2006,Key Engineering Materials,journal article,,324-325
10.4028/www.scientific.net/kem.334-335.237,Modelling of Thermal Cracking Behaviours of Fiber-Reinforced Composites,2007,Key Engineering Materials,journal article,,334-335
10.1016/0020-7683(87)90107-7,A thermomechanical constitutive theory for elastic composites with distributed damage—I. Theoretical development,1987,International Journal of Solids and Structures,journal article,9,23
10.4028/www.scientific.net/kem.330-332.641,Crystallization of a Bone-like Apatite from a Milk-Containing Revised Simulated Body Fluid (SBF),2007,Key Engineering Materials,journal article,,330-332
10.4028/www.scientific.net/kem.330-332.847,Rheological Properties of an Injectable Bioactive Calcium Phosphate Material,2007,Key Engineering Materials,journal article,,330-332
10.1016/s0142-9612(03)00335-1,Synchrotron X-ray microtomography (on a micron scale) provides three-dimensional imaging representation of bone ingrowth in calcium phosphate biomaterials,2003,Biomaterials,journal article,25,24
10.4028/www.scientific.net/kem.340-341.89,High Temperature Deformation Behaviour of a New Magnesium Alloy,2007,Key Engineering Materials,journal article,,340-341
10.4028/www.scientific.net/msf.488-489.135,Investigations in the Magnesium-Tin System,2005,Materials Science Forum,journal article,,488-489
10.4028/www.scientific.net/kem.340-341.83,"Mechanical Alloying of Ti-Al-Si-C Powders, their Thermal Stability, Phase Evolution, and Synthesis and Deformation of In Situ Produced Titanium Aluminide Composites",2007,Key Engineering Materials,journal article,,340-341
10.1016/s0921-5093(99)00557-2,In situ formation of titanium silicides-reinforced TiAl-based composites,2000,Materials Science and Engineering: A,journal article,1-2,277
10.4028/www.scientific.net/kem.339.453,Simulation of Solid-Liquid Two-Phase Flow Inside and Outside the Abrasive Water Jet Nozzle,2007,Key Engineering Materials,journal article,,339
10.4028/www.scientific.net/kem.339.500,An Experimental Study on Milling Al<sub>2</sub>O<sub>3</sub> Ceramics with Abrasive Waterjet,2007,Key Engineering Materials,journal article,,339
10.1016/0924-0136(94)90456-1,Material removal analysis in abrasive waterjet cutting of ceramic plates,1994,Journal of Materials Processing Technology,journal article,3-4,40
10.4028/www.scientific.net/kem.344.31,Formability and Microstructure of AZ31 Magnesium Alloy Sheets,2007,Key Engineering Materials,journal article,,344
10.1016/s0924-0136(02)00038-9,Isothermal sheet formability of magnesium alloy AZ31 and AZ61,2002,Journal of Materials Processing Technology,journal article,1-2,124
10.4028/www.scientific.net/kem.344.55,On the Formability of Magnesium Alloy Sheets in Warm Conditions,2007,Key Engineering Materials,journal article,,344
10.4028/www.scientific.net/kem.344.79,Mechanical Properties and Plastic Anisotropy of the Quenchenable High Strength Steel 22MnB5 at Elevated Temperatures,2007,Key Engineering Materials,journal article,,344
10.1007/978-3-662-04013-3,Formability of Metallic Materials,2000,,book,,
10.4028/www.scientific.net/kem.344.97,Determination of Yield Locus of Sheet Metal at Elevated Temperatures: A Novel Concept for Experimental Set-Up,2007,Key Engineering Materials,journal article,,344
10.4028/0-87849-972-5.795,Basic Investigations on the Hot Stamping Steel 22MnB5,2005,Sheet Metal 2005 - Advanced Materials Research,book chapter,,
10.4028/www.scientific.net/kem.344.209,Punching Force Reduction with Wave-Formed Tools,2007,Key Engineering Materials,journal article,,344
10.1016/0924-0136(92)90270-3,Design study of the geometry of a punching/blanking tool,1992,Journal of Materials Processing Technology,journal article,4,33
10.4028/www.scientific.net/kem.344.235,Laser-Assisted Bending,2007,Key Engineering Materials,journal article,,344
10.1016/j.jmatprotec.2004.04.004,Laser and forming technology—an idea and the way of implementation,2004,Journal of Materials Processing Technology,journal article,1-3,151
10.4028/www.scientific.net/kem.340-341.1199,A Numerical Investigation of Interface Dynamics during Martensitic Transformation in a Shape Memory Alloy Using the Level-Set Method,2007,Key Engineering Materials,journal article,,340-341
10.1016/0022-5096(95)00024-d,Thermomechanical aspects of NiTi,1995,Journal of the Mechanics and Physics of Solids,journal article,8,43
10.4028/www.scientific.net/kem.348-349.53,Modeling Crack Initiation and Propagation in Nickel Base Superalloys,2007,Key Engineering Materials,journal article,,348-349
10.1016/j.ijfatigue.2005.07.002,A two parameter driving force for fatigue crack growth analysis,2005,International Journal of Fatigue,journal article,10-12,27
10.4028/www.scientific.net/kem.348-349.69,Fracture Analysis of Magnetoelectroelastic Composite Materials,2007,Key Engineering Materials,journal article,,348-349
10.1103/physrevb.50.6082,Magnetoelectric effect in composites of piezoelectric and piezomagnetic phases,1994,Physical Review B,journal article,9,50
10.1080/00207218108901330,A broadband magneto-electric transducer using a composite material,1981,International Journal of Electronics,journal article,3,51
10.1080/00150197608241997,Magnetoelectricity in piezoelectric-magnetostrictive composites,1976,Ferroelectrics,journal article,1,10
10.4028/www.scientific.net/kem.347.159,Fatigue Damage Prevention on Turbine Blades: Study of Underplatform Damper Shape,2007,Key Engineering Materials,journal article,,347
10.1115/1.2889693,Harmonic Balance Vibration Analysis of Turbine Blades With Friction Dampers,1997,Journal of Vibration and Acoustics,journal article,1,119
10.1243/jmes_jour_1978_020_022_02,An Elastic Mechanism for the Micro-Sliding Characteristics between Contacting Machined Surfaces,1978,Journal of Mechanical Engineering Science,journal article,3,20
10.1098/rspa.1957.0016,The effect of a tangential force on the contact of metallic bodies,1957,Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences,journal article,1215,238
10.1088/0370-1301/67/3/309,The Effect of Compressive and Shearing Forces on the Surface Films present in Metallic Contacts,1954,Proceedings of the Physical Society. Section B,journal article,3,67
10.1002/andp.19193652005,Uber Thermokräfte in einem chemisch homogenen Leiterkreise; Bearbeitungs- und Oberflächenerscheinungen,1919,Annalen der Physik,journal article,20,365
10.1002/andp.18942891309,Thermoelectricität chemisch reiner Metalle,1894,Annalen der Physik,journal article,13,289
10.1080/14786449408620537,XVIII. Thermoelectric diagram for some pure metals,1894,"The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science",journal article,225,37
10.4028/www.scientific.net/kem.347.317,Effect of Crowning of Dovetail Joints on Turbine Blade Root Damping,2007,Key Engineering Materials,journal article,,347
10.1243/0954406981521259,The influence of rounded edges on indentation by a flat punch,1998,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",journal article,4,212
10.1016/0020-7225(69)90054-8,Adhesive or frictionless compression of an elastic rectangle between two identical elastic half-spaces,1969,International Journal of Engineering Science,journal article,2,7
10.4028/www.scientific.net/kem.348-349.317,The Influence of Loading Ratio on Fatigue Crack Propagation Through a Bi-Material Interface,2007,Key Engineering Materials,journal article,,348-349
10.4028/www.scientific.net/kem.348-349.377,Numerical Investigations of Corner Singularities in Cracked Bodies,2007,Key Engineering Materials,journal article,,348-349
10.1016/0020-7683(79)90062-3,Surface singularity and crack propagation,1979,International Journal of Solids and Structures,journal article,5,15
10.4028/www.scientific.net/kem.348-349.801,Onset of Microplasticity in Copper Crystal during Nanoindentation,2007,Key Engineering Materials,journal article,,348-349
10.1016/s1359-6454(02)00025-3,Time-dependent characteristics of incipient plasticity in nanoindentation of a Ni3Al single crystal,2002,Acta Materialia,journal article,6,50
10.4028/www.scientific.net/kem.345-346.1125,Residual Stress Estimation with Identification of Stress Directionality Using Instrumented Indentation Technique,2007,Key Engineering Materials,journal article,,345-346
10.1007/978-1-4613-9570-6,Residual Stress,1987,,book,,
10.4028/www.scientific.net/kem.361-363.15,Validation of an Analytical Model Describing Mechanical Properties of Porous BCP Ceramics,2007,Key Engineering Materials,journal article,,361-363
10.1002/(sici)1097-4636(199612)32:4<603::aid-jbm13>3.0.co;2-e,Macroporous biphasic calcium phosphate ceramics: Influence of five synthesis parameters on compressive strength,1996,Journal of Biomedical Materials Research,journal article,4,32
10.1016/0142-9612(90)90045-r,Replacement of the rabbit medial meniscus with a polyester-carbon fibre bioprosthesis,1990,Biomaterials,journal article,1,11
10.4028/www.scientific.net/kem.361-363.51,Influence of Association Type of Bisphosphonates with Calcium-Deficient Apatite on Drug Release,2007,Key Engineering Materials,journal article,,361-363
10.2165/00002018-199614030-00003,Adverse Effects of Bisphosphonates,1996,Drug Safety,journal article,3,14
10.4028/www.scientific.net/kem.359-360.404,Effect of Nozzle Type and Abrasive on Machinablity in Micro Abrasive Air Jet Machining of Glass,2007,Key Engineering Materials,journal article,,359-360
10.4028/www.scientific.net/kem.196.103,A New Device of Abrasive Jet Machining and Application to Abrasive Jet Printer,2001,Key Engineering Materials,journal article,,196
10.4028/www.scientific.net/kem.361-363.75,Vibrational Properties of Sodium Substituted β-Tricalcium Phosphate,2007,Key Engineering Materials,journal article,,361-363
10.1021/cm052135f,Effect of Sodium Doping in β-Tricalcium Phosphate on Its Structure and Properties,2006,Chemistry of Materials,journal article,6,18
10.4028/www.scientific.net/kem.361-363.103,Variations in the Compression Strength of Cylindrical Samples Made of Dense Hydroxyapatite,2007,Key Engineering Materials,journal article,,361-363
10.1016/s0955-2219(00)00305-8,Binder burnout and evolution of the mechanical strength of dry-pressed ceramics containing poly(vinyl alcohol),2001,Journal of the European Ceramic Society,journal article,8,21
10.4028/www.scientific.net/kem.361-363.107,The Differences between the Direct and Sol-Gel Syntheses of Silicon-Contained Calcium Phosphates,2007,Key Engineering Materials,journal article,,361-363
10.1007/s10853-006-6489-8,Silicon-substituted hydroxyapatite (SiHA): A novel calcium phosphate coating for biomedical applications,2006,Journal of Materials Science,journal article,3,41
10.1126/science.6246576,Biomaterials,1980,Science,journal article,4446,208
10.4028/www.scientific.net/kem.361-363.295,Controlling the Reactivity of Calcium Phosphate Cements,2007,Key Engineering Materials,journal article,,361-363
10.1016/j.biomaterials.2005.03.049,Technological issues for the development of more efficient calcium phosphate bone cements: A critical assessment,2005,Biomaterials,journal article,33,26
10.4028/www.scientific.net/kem.353-358.921,Three Dimensional Numerical Approach to Splitting Failure of Rock Discs,2007,Key Engineering Materials,journal article,,353-358
10.1016/0148-9062(78)90956-7,Determining rock mass deformability: experience from case histories,1978,International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts,journal article,5,15
10.4028/www.scientific.net/kem.353-358.993,Numerical Simulation on Fracture Formation on Surfaces of Bi-Layered Materials,2007,Key Engineering Materials,journal article,,353-358
10.1016/0167-9031(90)90864-o,Subsurface ground strain and fracture development associated with longwall mining,1990,Mining Science and Technology,journal article,1,10
10.4028/www.scientific.net/kem.353-358.1045,Numerical Simulation of Fracture Process Zone in Concrete Tension Specimen,2007,Key Engineering Materials,journal article,,353-358
10.1016/0008-8846(91)90168-h,Influence of aggregate size on fracture process zone of concrete detected with three dimensional acoustic emission technique,1991,Cement and Concrete Research,journal article,5,21
10.4028/www.scientific.net/kem.375-376.62,Experiment Study on Abrasive Waterjet Machining Mechanisms of Brittle Materials,2008,Key Engineering Materials,journal article,,375-376
10.4028/www.scientific.net/kem.361-363.1237,Impact of Calcium Phosphate Particle Morphology on Osteoconduction: an In Vivo Study,2007,Key Engineering Materials,journal article,,361-363
10.5466/ijoms.4.117,Calcium Phosphate Biomaterials: An Update,2006,International Journal of Oral-Medical Sciences,journal article,3,4
10.4028/www.scientific.net/kem.375-376.465,Theoretical Model of Surface Roughness for Polishing Super Hard Materials with Abrasive Waterjet,2008,Key Engineering Materials,journal article,,375-376
10.1115/1.2836824,State of the Art of Research and Development in Abrasive Waterjet Machining,1997,Journal of Manufacturing Science and Engineering,journal article,4B,119
10.4028/www.scientific.net/kem.385-387.5,Fatigue Crack Growth Rate Analysis in a Titanium Alloy,2008,Key Engineering Materials,journal article,,385-387
10.4028/www.scientific.net/kem.385-387.49,Assessment of Extrinsic Crack Tip Shielding in Austenitic Steel near Fatigue Threshold,2008,Key Engineering Materials,journal article,,385-387
10.1016/0025-5416(88)90547-2,"Mechanisms of fatigue crack propagation in metals, ceramics and composites: Role of crack tip shielding",1988,Materials Science and Engineering: A,journal article,1,103
10.4028/www.scientific.net/kem.385-387.125,Numerical Investigation of Stress Singularities in Cracked Bimaterial Body,2008,Key Engineering Materials,journal article,,385-387
10.4028/www.scientific.net/kem.388.3,"(Mg,Zn)O/ZnO Heterostructures Prepared by Pulsed Laser Deposition",2008,Key Engineering Materials,journal article,,388
10.1002/pssb.200304271,P-type doping and devices based on ZnO,2004,physica status solidi (b),journal article,3,241
