id,title,type,publication_year,issue,volume,chapter,publication_venue,venue_type,publisher,event
doi:10.1007/s11192-018-2796-5,Accumulation Of Knowledge In Para-Scientific Areas: The Case Of Analytic Philosophy,journal-article,2018,2,116,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2803-x,Litstoryteller+: An Interactive System For Multi-Level Scientific Paper Visual Storytelling With A Supportive Text Mining Toolbox,journal-article,2018,3,116,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2809-4,Entrepreneurial Cognition And Socially Situated Approach: A Systematic And Bibliometric Analysis,journal-article,2018,3,116,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2841-4,Overlapping Thematic Structures Extraction With Mixed-Membership Stochastic Blockmodel,journal-article,2018,1,117,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2844-1,A Comparative Study Of Citations To Chemical Encyclopedias In Scholarly Articles: Kirk-Othmer Encyclopedia Of Chemical Technology And Ullmann’S Encyclopedia Of Industrial Chemistry,journal-article,2018,1,117,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2856-x,"Twenty Years Of Statistical Learning: From Language, Back To Machine Learning",journal-article,2018,1,117,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2936-y,Exploring The Common Denominator Between Microplastics And Microbiology: A Scientometric Approach,journal-article,2018,3,117,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2977-2,What’S In A Name? Exploring The Conceptual Structure Of Emerging Organizations,journal-article,2018,2,118,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2990-5,"Digital Competences, Computer Skills And Information Literacy In Secondary Education: Mapping And Visualization Of Trends And Concepts",journal-article,2018,2,118,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-019-03047-6,Research And Partnership In Studies Of Sugarcane Using Molecular Markers: A Scientometric Approach,journal-article,2019,1,119,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-019-03057-4,A Research Framework To Explore Knowledge Evolution And Scholarly Quantification Of Collaborative Research,journal-article,2019,2,119,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-019-03087-y,Bibliometric Analysis Of Publications From Post-Soviet Countries In Psychological Journals In 1992–2017,journal-article,2019,2,119,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-019-03116-w,Opening The Black Box Of Academic Entrepreneurship: A Bibliometric Analysis,journal-article,2019,1,120,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-019-03201-0,Innovation In Latin America Through The Lens Of Bibliometrics: Crammed And Fading Away,journal-article,2019,2,121,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-019-03213-w,"Software Survey: Scientopy, A Scientometric Tool For Topics Trend Analysis In Scientific Publications",journal-article,2019,2,121,,Scientometrics,journal,crossref:297,
doi:10.1080/13683500.2017.1408574,Bibliometric Visualisation: An Application In Tourism Crisis And Disaster Management Research,journal-article,2017,16,22,,Current Issues In Tourism,journal,crossref:301,
doi:10.1080/16549716.2018.1504398,Ten-Years Trend Of Dengue Research In Indonesia And South-East Asian Countries: A Bibliometric Analysis,journal-article,2018,1,11,,Global Health Action,journal,crossref:301,
doi:10.1007/s00210-019-01629-y,A Literature Analysis On Anti-Vascular Endothelial Growth Factor Therapy (Anti-Vegf) Using A Bibliometric Approach,journal-article,2019,4,392,,Naunyn-Schmiedeberg'S Archives Of Pharmacology,journal,crossref:297,
doi:10.1007/s10843-017-0213-4,Exploring The Intellectual Structure Of Research On ‘Born Globals’ And Invs: A Literature Review Using Bibliometric Methods,journal-article,2017,,,,Journal Of International Entrepreneurship,journal,crossref:297,
doi:10.1080/2157930x.2018.1439293,Innovation In Natural Resource-Based Industries: A Pathway To Development? Introduction To Special Issue,journal-article,2018,1,8,,Innovation And Development,journal,crossref:301,
doi:10.1002/leap.1114,Open Access Publications In Sciences And Social Sciences: A Comparative Analysis,journal-article,2017,2,31,,Learned Publishing,journal,crossref:311,
doi:10.1080/23299460.2017.1387509,Exploring Attitudes To Societal Relevance: The Effects Of Reflection On Research Practices Among Swedish Environmental Scientists,journal-article,2017,3,4,,Journal Of Responsible Innovation,journal,crossref:301,
doi:10.3390/e21070694,Twenty Years Of Entropy Research: A Bibliometric Overview,journal-article,2019,7,21,,Entropy,journal,crossref:1968,
doi:10.1177/1847979017751484,The Most Influential Countries In Market Orientation,journal-article,2018,,10,,International Journal Of Engineering Business Management,journal,crossref:179,
doi:10.1177/1937586719855336,Layout Planning In Healthcare Facilities: A Systematic Review,journal-article,2019,3,12,,Herd: Health Environments Research & Design Journal,journal,crossref:179,
doi:10.1177/1940082919854058,Species Distribution Modeling In Latin America: A 25-Year Retrospective Review,journal-article,2019,,12,,Tropical Conservation Science,journal,crossref:179,
doi:10.1007/s11119-018-9569-2,"Science Mapping Approach To Analyze The Research Evolution On Precision Agriculture: World, Eu And Italian Situation",journal-article,2018,6,19,,Precision Agriculture,journal,crossref:297,
doi:10.1007/s11135-017-0522-7,State Of The Art In Business Analytics: Themes And Collaborations,journal-article,2017,2,52,,Quality & Quantity,journal,crossref:297,
doi:10.1007/s11135-018-0811-9,Subjective Well-Being Among The Elderly: A Bibliometric Analysis,journal-article,2018,3,53,,Quality & Quantity,journal,crossref:297,
doi:10.3390/smartcities2030027,Application Of Decision-Making Methods In Smart City Projects: A Systematic Literature Review,journal-article,2019,3,2,,Smart Cities,journal,crossref:1968,
doi:10.3390/su10030667,An Empirical Study On Visualizing The Intellectual Structure And Hotspots Of Big Data Research From A Sustainable Perspective,journal-article,2018,3,10,,Sustainability,journal,crossref:1968,
doi:10.3390/su10030682,Visualizing The Academic Discipline Of Knowledge Management,journal-article,2018,3,10,,Sustainability,journal,crossref:1968,
doi:10.3390/su10041084,Sustainable Water Use In Agriculture: A Review Of Worldwide Research,journal-article,2018,4,10,,Sustainability,journal,crossref:1968,
doi:10.3390/su10124748,From Health Technology Assessment To Health Technology Sustainability,journal-article,2018,12,10,,Sustainability,journal,crossref:1968,
doi:10.3390/su10124790,The Evolution Of International Scientific Collaboration In Fuel Cells During 1998–2017: A Social Network Perspective,journal-article,2018,12,10,,Sustainability,journal,crossref:1968,
doi:10.3390/su10124847,Gentrification As An Emerging Source Of Environmental Research,journal-article,2018,12,10,,Sustainability,journal,crossref:1968,
doi:10.3390/su11030745,"Farmers’ Market Actors, Dynamics, And Attributes: A Bibliometric Study",journal-article,2019,3,11,,Sustainability,journal,crossref:1968,
doi:10.3390/su11030863,Biomass As Renewable Energy: Worldwide Research Trends,journal-article,2019,3,11,,Sustainability,journal,crossref:1968,
doi:10.3390/su11040988,Visualization And Analysis Of Mapping Knowledge Domain Of Urban Vitality Research,journal-article,2019,4,11,,Sustainability,journal,crossref:1968,
doi:10.3390/su11051377,Tourism Research On Sustainability: A Bibliometric Analysis,journal-article,2019,5,11,,Sustainability,journal,crossref:1968,
doi:10.3390/su11061677,"Adoption Of Systemic And Socio-Technical Perspectives In Waste Management, Weee And Elv Research",journal-article,2019,6,11,,Sustainability,journal,crossref:1968,
doi:10.3390/su11092526,A Bibliometric And Visualization Analysis Of Socially Responsible Funds,journal-article,2019,9,11,,Sustainability,journal,crossref:1968,
doi:10.3390/su11113049,The Role Of Smart Contracts In Sustainability: Worldwide Research Trends,journal-article,2019,11,11,,Sustainability,journal,crossref:1968,
doi:10.3390/su11133548,A Bibliometric Analysis Of Energy Performance Contracting Research From 2008 To 2018,journal-article,2019,13,11,,Sustainability,journal,crossref:1968,
doi:10.3390/su11154019,Human Factor In Food Label Design To Support Consumer Healthcare And Safety: A Systematic Literature Review,journal-article,2019,15,11,,Sustainability,journal,crossref:1968,
doi:10.3390/su11164388,"Bibliometric Review Of Research On Knowledge Management And Sustainability, 1994–2018",journal-article,2019,16,11,,Sustainability,journal,crossref:1968,
doi:10.3390/su11174738,Science Mapping Of Tourist Mobility 1980–2019. Technological Advancements In The Collection Of The Data For Tourist Traceability,journal-article,2019,17,11,,Sustainability,journal,crossref:1968,
doi:10.1080/14767724.2019.1665988,The Worldwide Spread Of Peace Education: Discursive Patterns In Publications And International Organisations,journal-article,2019,5,17,,"Globalisation, Societies And Education",journal,crossref:301,
doi:10.1080/14783363.2018.1468247,"Knowledge Management And Total Quality Management: Foundations, Intellectual Structures, Insights Regarding Evolution Of The Literature",journal-article,2018,9-10,31,,Total Quality Management & Business Excellence,journal,crossref:301,
doi:10.1080/14783363.2019.1652091,Six Sigma Literature: A Bibliometric Analysis,journal-article,2019,9-10,32,,Total Quality Management & Business Excellence,journal,crossref:301,
doi:10.1186/s12961-018-0298-9,"A Bibliometric Analysis Of The Published Road Traffic Injuries Research In India, Post-1990",journal-article,2018,1,16,,Health Research Policy And Systems,journal,crossref:297,
doi:10.1039/c8cs00117k,Catalysis For The Synthesis Of Methacrylic Acid And Methyl Methacrylate,journal-article,2018,20,47,,Chemical Society Reviews,journal,crossref:292,
doi:10.3390/ijerph16183326,What Has Been The Focus Of Sugarcane Research? A Bibliometric Overview,journal-article,2019,18,16,,International Journal Of Environmental Research And Public Health,journal,crossref:1968,
doi:10.1111/joes.12270,Productivity And Efficiency Analysis Software: An Exploratory Bibliographical Survey Of The Options,journal-article,2018,1,33,,Journal Of Economic Surveys,journal,crossref:311,
doi:10.1371/journal.pone.0216408,Towards A Second Generation Of ‘Social Media Metrics’: Characterizing Twitter Communities Of Attention Around Science,journal-article,2019,5,14,,Plos One,journal,crossref:340,
doi:10.1177/1354816618793762,Tourism And Its Economic Impact: A Literature Review Using Bibliometric Tools,journal-article,2018,1,25,,Tourism Economics,journal,crossref:179,
doi:10.1186/s12889-019-6842-x,Scientific And Technological Contributions Of Latin America And Caribbean Countries To The Zika Virus Outbreak,journal-article,2019,1,19,,Bmc Public Health,journal,crossref:297,
doi:10.1371/journal.pone.0170296,Analysing Institutions Interdisciplinarity By Extensive Use Of Rao-Stirling Diversity Index,journal-article,2017,1,12,,Plos One,journal,crossref:340,
doi:10.1002/asi.23267,Can We Rank Scholarly Book Publishers? A Bibliometric Experiment With The Field Of History,journal-article,2014,7,66,,Journal Of The Association For Information Science And Technology,journal,crossref:311,
doi:10.1002/asi.23630,Using Course-Subject Co-Occurrence (Csco) To Reveal The Structure Of An Academic Discipline: A Framework To Evaluate Different Inputs Of A Domain Map,journal-article,2016,1,68,,Journal Of The Association For Information Science And Technology,journal,crossref:311,
doi:10.1002/asi.23770,How Many Ways To Use Citespace? A Study Of User Interactive Events Over 14 Months,journal-article,2017,5,68,,Journal Of The Association For Information Science And Technology,journal,crossref:311,
doi:10.1002/asi.24130,Statistical Significance And Effect Sizes Of Differences Among Research Universities At The Level Of Nations And Worldwide Based On The Leiden Rankings,journal-article,2019,5,70,,Journal Of The Association For Information Science And Technology,journal,crossref:311,
doi:10.1002/asi.24171,Paperpoles: Facilitating Adaptive Visual Exploration Of Scientific Publications By Citation Links,journal-article,2019,8,70,,Journal Of The Association For Information Science And Technology,journal,crossref:311,
doi:10.1177/1534735419846401,"Production Trends, Collaboration, And Main Topics Of The Integrative And Complementary Oncology Research Area: A Bibliometric Analysis",journal-article,2019,,18,,Integrative Cancer Therapies,journal,crossref:179,
doi:10.1108/bij-03-2016-0031,Benchmarking Of Best Practices: An Overview Of The Academic Literature,journal-article,2017,3,24,,Benchmarking: An International Journal,journal,crossref:140,
doi:10.1108/bij-05-2018-0133,Marketing Communications Via Celebrity Endorsement: An Integrative Review,journal-article,2019,7,27,,Benchmarking: An International Journal,journal,crossref:140,
doi:10.1108/dta-10-2017-0078,Performance Assessment And Major Trends In Open Government Data Research Based On Web Of Science Data,journal-article,2019,3,53,,Data Technologies And Applications,journal,crossref:140,
doi:10.1108/ecam-08-2018-0350,Scientometric Analysis Of Bim-Based Research In Construction Engineering And Management,journal-article,2019,8,26,,"Engineering, Construction And Architectural Management",journal,crossref:140,
doi:10.1108/ecam-09-2018-0390,Post-Occupancy Evaluation: A Review Of Literature,journal-article,2019,9,26,,"Engineering, Construction And Architectural Management",journal,crossref:140,
doi:10.4218/etrij.2018-0059,Exploring The Dynamic Knowledge Structure Of Studies On The Internet Of Things: Keyword Analysis,journal-article,2018,6,40,,Etri Journal,journal,crossref:311,
doi:10.1177/0013916519843126,Celebrating Half A Century Of Environment And Behavior: A Bibliometric Review,journal-article,2019,5,51,,Environment And Behavior,journal,crossref:179,
doi:10.1088/1748-9326/aabf9b,Negative Emissions—Part 1: Research Landscape And Synthesis,journal-article,2018,6,13,,Environmental Research Letters,journal,crossref:266,
doi:10.1080/09585192.2019.1661267,Mapping The Expatriate Literature: A Bibliometric Review Of The Field From 1998 To 2017 And Identification Of Current Research Fronts,journal-article,2019,22,32,,The International Journal Of Human Resource Management,journal,crossref:301,
doi:10.1080/09637486.2019.1620184,Food Toxicology: Quantitative Analysis Of The Research Field Literature,journal-article,2019,1,71,,International Journal Of Food Sciences And Nutrition,journal,crossref:301,
doi:10.1080/09537325.2019.1645826,A Predictive Filtering Approach For Clarifying Bibliometric Datasets: An Example On The Research Articles Related To Industry 4.0,journal-article,2019,2,32,,Technology Analysis & Strategic Management,journal,crossref:301,
doi:10.1016/j.ssci.2019.07.036,Exploring The Role Of Building Information Modeling In Construction Safety Through Science Mapping,journal-article,2019,,120,,Safety Science,journal,crossref:78,
doi:10.1016/j.omega.2020.102388,Learning From The Past To Shape The Future: A Comprehensive Text Mining Analysis Of Or/Ms Reviews,journal-article,2021,,100,,Omega,journal,crossref:78,
doi:10.1016/j.orp.2020.100164,Operations Research Models And Methods For Safety Stock Determination: A Review,journal-article,2020,,7,,Operations Research Perspectives,journal,crossref:78,
doi:10.1016/j.outlook.2019.04.009,"Historical, Descriptive And Exploratory Analysis Of Application Of Bibliometrics In Nursing Research",journal-article,2019,6,67,,Nursing Outlook,journal,crossref:78,
doi:10.1016/j.ssci.2015.09.004,Output Distributions And Topic Maps Of Safety Related Journals,journal-article,2016,,82,,Safety Science,journal,crossref:78,
doi:10.1016/j.jup.2018.06.003,Wire-Free Electricity: Insights From A Techno-Futuristic Exploration,journal-article,2018,,53,,Utilities Policy,journal,crossref:78,
doi:10.1016/j.joi.2016.09.006,A Hybrid Similarity Measure Method For Patent Portfolio Analysis,journal-article,2016,4,10,,Journal Of Informetrics,journal,crossref:78,
doi:10.1016/j.joi.2019.01.002,Peer And Neighborhood Effects: Citation Analysis Using A Spatial Autoregressive Model And Pseudo-Spatial Data,journal-article,2019,1,13,,Journal Of Informetrics,journal,crossref:78,
doi:10.1016/j.joi.2020.101043,Bibliometrics And Systematic Reviews: A Comparison Between The Proknow-C And The Methodi Ordinatio,journal-article,2020,3,14,,Journal Of Informetrics,journal,crossref:78,
doi:10.1016/j.jpurol.2018.04.004,"Historical Bibliometric Analysis Of The Top Cited Articles On Vesicoureteral Reflux 1950–2016, And Incorporation Of A Novel Impact Index",journal-article,2018,5,14,,Journal Of Pediatric Urology,journal,crossref:78,
doi:10.1016/j.autcon.2019.01.010,Building Information Modelling For Off-Site Construction: Review And Future Directions,journal-article,2019,,101,,Automation In Construction,journal,crossref:78,
doi:10.1016/j.jbusres.2018.12.002,"A Bibliometric Research In The Tourism, Leisure And Hospitality Fields",journal-article,2019,,101,,Journal Of Business Research,journal,crossref:78,
doi:10.1016/j.jbusres.2019.02.050,Ethics And Entrepreneurship: A Bibliometric Study And Literature Review,journal-article,2019,,99,,Journal Of Business Research,journal,crossref:78,
doi:10.1016/j.jclepro.2020.122945,Agricultural Co-Operatives In The Western World: A Bibliometric Analysis,journal-article,2020,,273,,Journal Of Cleaner Production,journal,crossref:78,
doi:10.1016/j.jclepro.2020.125760,Understanding China’S Largest Sustainability Experiment: Atmospheric And Climate Governance In The Yangtze River Economic Belt As A Lens,journal-article,2021,,290,,Journal Of Cleaner Production,journal,crossref:78,
